tags,english,swedish,dutch,german,russian
,above,Över,boven,über,
,Ace of Club,Klöver ess,klaver aas,Kreuz Ass,
,Ace of Diamond,Ruter ess,ruiten aas,Karo Ass,
,Ace of Heart,Hjärter ess,harten aas,Herz Ass,
,Ace of Spade,Spader ess,schoppen aas,Pik Ass,
,aids,,,,
,airplane,Flygplan,vliegtuig,Flugzeug,
,alarm,Alarm,alarm,Alarm,
,alligator,,alligator,,
,America,Amerika,Amerika,Amerika,
,angry,Arg,boos,wütend,
,anja,,,,
,apple,Äpple,appel,Apfel,
,apple,,,,
,arm,Arm,arm,Arm,
,aww,,,,
,baby,Bebis,baby,Baby,
,bank,Bank,bank,Bank,
,barber,,,,
,basket,,mand,,
,basketball,Basketboll,basketbal,Basketball,
,battery,Batteri,batterij,Batterie,
,BBQ,,,,
,bear,Björn,beer,Bär,
,beard,Skägg,baard,Bart,
,bed,Säng,bed,Bett,
,beer,,bier,,
,belt,Skärp,gordel,Gürtel,
,bench,,,,
,big,,,,
,Big Ben,Big Ben,Big Ben,Big Ben,
,billiard,Biljard,biljart,Billard,
,blond,Blond,blond,Blond,
,blood,Blod,bloed,Blut,
,boat,Båt,boot,Boot,
,bowl,,,,
,boy,Pojke,jongen,Junge,
,breakfast,,,,
,bridge,Bro,brug,Brücke,
,bucket,,,,
,bum,,,,
,cake,Tårta,taart,Kuchen,
,camera,Kamera,camera,Kamera,
,Canada,Kanada,Canada,Kanada,
,cancer,,,,
,car,Bil,auto,Auto,
,car,,,,
,cat,Katt,kat,Katze,
,cat,,,,
,chainsaw,Motorsåg,kettingzaag,Kettensäge,
,checkmark,Checkmark,vinkje,Häkchen,
,checkmark,,vinkje,,
,cheese,,,,
,chess,Schack,schaak,Schach,
,chicken,Kyckling,kip,Hähnchen,
,church,Kyrka,kerk,Kirche,
,circle,,,,
,computer,Dator,computer,Computer,
,cookie,Kaka,koekje,Keks,
,cow,,,,
,crocodile,Krokodil,krokodil,Krokodil,
,crowbar,Kofot,koevoet,Brecheisen,
,cute,,,,
,daughter,Dotter,dochter,Tochter,
,diaper,,,,
nsfw,dickbutt,Dickbutt,dickbutt,Dickbutt,
,dinner,,,,
,dog,Hund,hond,Hund,
,dollar,Dollar,dollar,Dollar,
,donkey,,,,
,dragon,Drake,draak,Drache,
,ear,Öra,oor,Ohr,
,east,,,,
,egg,Ägg,ei,Ei,
,Eiffel tower,Effieltornet,Eiffeltoren,Eiffelturm,
,elephant,Elefeant,olifant,Elefant,
,England,England,Engeland,England,
,face,Ansikte,gezicht,Gesicht,
,fedora,,,,
,finger,,,,
,fire truck,Brandbil,brandweerauto,Feuerwehrauto,
,fish,Fisk,vis,Fisch,
,fist,,,,
,foot,,voet,,
,football,Fotboll,voetbal,Fußball,
,forehead,Panna,voorhoofd,Stirn,
,France,Frankrike,Frankrijk,Frankreich,
,french fries,Pommes frites,patat,Pommes,
,fries,,,,
,frisbee,Frisbee,frisbee,Frisbee,
,fur,,,,
,Generals.io,Generals.io,Generals.io,Generals.io,
,germany,,,,
,giant,Jätte,reus,Riese,
,girl,Flicka,meisje,Mädchen,
,globe,,wereldbol,,
,goat,,,,
,gold,Guld,goud,Gold,
,government,,,,
,grass,Gräs,gras,Gras,
,grave,Grav,graf,Grab,
,grip,,,,
,gun,Pistol,pistool,Pistole,
,hammer,Hammare,hamer,Hammer,
,hand,,,,
nsfw,handjob,,,,
,hang,,,,
,happy,Glad,gelukkig,glücklich,
,hat,,,,
,helicopter,Helikopter,helikopter,Helikopter,
,hen,,,,
,hit,,,,
,hopping,,,,
,horse,Häst,paard,Pferd,
,horse,,,,
,hospital,Sjukhus,ziekenhuis,Krankenhaus,
,house,Hus,huis,Haus,
,injury,Skada,gewond,Verletzung,
,island,,,,
,jet ski,Vattenskoter,jetski,Jetski,
,jewel,Juvel,juweel,Juwel,
,JkjA,,,,
,kangaroo,Känguru,kangoeroe,Känguru,
,key,Nyckel,sleutel,Schlüssel,
,keyboard,Tangentbord,toetsenbord,Tastatur,
,king,Kung,koning,König,
,knee,Knä,knie,Knie,
,knife,Kniv,mes,Messer,
,lake,Sjö,meer,See,
,lake,,,,
,lamp,Lampa,lamp,Lampe,
,laptop,Laptop,laptop,Laptop,
,lawnmower,Gräsklippare,grasmaaier,Rasenmäher,
,leg,Ben,been,Bein,
,lemon,,,,
,letter,,brief,,
,lime,,,,
,line,Linje,lijn,Linie,
,lip,Läpp,lip,Lippe,
,lipo,,,,
,llama,,,,
,lunch,,,,
,mario,,mario,,
nsfw,masterbate,,,,
,meadow,,,,
,meat,Kött,vlees,Fleisch,
,melted radio,,,,
,mess,,,,
,milk,Mjölk,melk,Milch,
,mirror,,,,
,mitboi,,,,
,money,Pengar,geld,Geld,
,motorcycle,Motorcykel,motorfiets,Motorrad,
,mouse,,muis,,
,mouth,Mun,mond,Mund,
,mouth,,,,
,mustasche,Mustasch,snor,Schnurrbart,
,naked,Naken,naakt,nackt,
,neck,Nacke,nek,Nacken,
,neck,,,,
,nightmare,,,,
,north,,,,
,notebook,Anteckningsblock,notitieboekje,Notizbuch,
